Bezoekadres,Postadres,Telefoon,Fax,Internet,E-mail
"
					
					Zuid-Hollandplein 1,
					2596 AW Den Haag
				","
					Postbus 90602,
					
					2509 LP Den Haag
				","
						0704416611 (algemeen)
						
						
						
					",,http://www.zuid-holland.nl,zuidholland@pzh.nl
"
					
					Parnassusplein 5,
					2511 VX Den Haag
				","
					
					Postbus 20350,
					2500 EJ Den Haag
				","
						070 340 79 11 (algemeen)
						
						
						
					",070 340 78 34,https://www.rijksoverheid.nl/ministeries/ministerie-van-volksgezondheid-welzijn-en-sport,
"
					
					Lange Poten 4,
					2511 CL Den Haag
				","
					
					Postbus 20018,
					2500 EA Den Haag
				",,,http://www.tweedekamer.nl,
"
					
					Kneuterdijk 22,
					2514 EN Den Haag
				","
					
					Postbus 20019,
					2500 EA Den Haag
				",,,http://www.raadvanstate.nl,voorlichting@raadvanstate.nl
"
					
					Nassaulaan 2-b,
					2514 JS Den Haag
				","
					
					Postbus 16325,
					2500 BH Den Haag
				","
						(070) 36 14 281 (algemeen)
						
						
						
					",(070) 36 31 712,"https://www.hogeraadvanadel.nl,https://www.hogeraadvanadel.nl/contact",info@hogeraadvanadel.nl
"
					
					Bezuidenhoutseweg 60,
					2594 AW 's-Gravenhage
				","
					
					Postbus 90405,
					2509 LK 's-Gravenhage
				",,,,
"
					
					Koningskade 40,
					2596 AA Den Haag
				","
					
					Postbus 93218,
					2509 AE Den Haag
				","
						(070) 351 97 51 (algemeen)
						
						
						
					",,https://www.uvw.nl,info@uvw.nl
"
					
					Korte Vijverberg 3,
					2513 AB Den Haag
				","
					
					Postbus 20016,
					2500 EA Den Haag
				",,,http://www.kabinetvandekoning.nl,
"
					
					Kneuterdijk 1,
					2514 EM Den Haag
				","
					
					Postbus 90613,
					2509 LP Den Haag
				","
						(070) 361 97 23 (algemeen)
						
						
						
					",(070) 361 9715,http://www.rechtspraak.nl,
,,,,,
"
					
					Korte Voorhout 8,
					2511 EK ’s-Gravenhage
				","
					
					Postbus 20303,
					2500 EH ’s-Gravenhage
				","
						(070) 36 11 311 (algemeen)
						
						
						
					",,https://www.rechtspraak.nl/Organisatie-en-contact/Organisatie/Hoge-Raad-der-Nederlanden/Over-de-Hoge-Raad/Parket/Paginas/default.aspx,info@hogeraad.nl
"
					
					Korte Voorhout 8,
					2511 EK ’s-Gravenhage
				","
					
					Postbus 20303,
					2500 EH ’s-Gravenhage
				","
						(070) 36 11 311 (algemeen)
						
						
						
					",,https://www.rechtspraak.nl/Organisatie-en-contact/Organisatie/Hoge-Raad-der-Nederlanden,info@hogeraad.nl
,,,,,
"
					
					Prins Clauslaan 14,
					2595 AJ ’s-Gravenhage
				","
					
					Postbus 20021,
					2500 EA ’s-Gravenhage
				","
						(088) 362 39 10 (algemeen)
						
						
							",(088) 361 00 56,https://www.rechtspraak.nl/Organisatie-en-contact/Organisatie/College-van-Beroep-voor-het-bedrijfsleven,"cbb@rechtspraak.nl,mediation.cbb@rechtspraak.nl"
"
					
					Vrouwe Justitiaplein 1,
					3511 EX Utrecht
				","
					
					Postbus 16002,
					3500 DA Utrecht
				","
						(088) 36 21111 (algemeen)
						
						
						
					",(088) 36 10049,https://www.rechtspraak.nl/Organisatie-en-contact/Organisatie/Centrale-Raad-van-beroep,crvb@rechtspraak.nl
"
					
					Herengracht 23,
					2511 EG Den Haag
				","
					
					Postbus 16107,
					2500 BC Den Haag
				","
						(070) 888 12 12 (algemeen)
						
						
						
					",(070) 888 12 80,,communicatie@ipo.nl
"
					
					Carnegieplein 5kamer 1.03,
					2517 KJ 's-Gravenhage
				","
					
					Postbus 96979,
					2509 JJ 's-Gravenhage
				",,,,
"
					
					Neuhuyskade 94,
					2596 XM 's-Gravenhage
				","
					
					Postbus 30851,
					2500 GW 's-Gravenhage
				",,,,
"
					
					Berghaven 16,
					3151 HB Hoek van Holland
				","
					
					
					
				","
						+ 31 (0) 88 900 25 00 (algemeen)
						
						
						
					",+ 31 (0) 88 900 25 88,https://www.loodswezen.nl,info@loodswezen.nl
"
					
					Spui 184,
					2511 BW 's-Gravenhage
				","
					
					Postbus 16020,
					2500 BA 's-Gravenhage
				",,,,
"
					
					Antonio Vivaldistraat 2,
					1083 HP Amsterdam
				","
					
					Postbus 7984,
					1008 AD Amsterdam
				",,,,
"
					
					Prinses Margrietplantsoen 49,
					2595 BR 's-Gravenhage
				","
					Prinses Margrietplantsoen 49,
					
					2595 BR 's-Gravenhage
				",,,,
"
					
					Bezuidenhoutseweg 151,
					2594 AG Den Haag
				","
					
					Postbus 93122,
					2509 AC Den Haag
				","
						0800 - 33 55 555 (algemeen)
						
						
						
					",,http://www.nationaleombudsman.nl,post@nationaleombudsman.nl
"
					
					Nassaulaan 18,
					2514 JT Den Haag
				","
					
					Postbus 30436,
					2500 GK Den Haag
				","
						070 375 1200 (algemeen)
						
						
						
					",,http://www.lintjes.nl,info@kanselarij.nl
"
					
					Lange Voorhout 8,
					2514 ED Den Haag
				","
					
					Postbus 20015,
					2500 EA Den Haag
				","
						070-342 43 44 (algemeen)
						
						
						
					",,http://www.rekenkamer.nl,voorlichting@rekenkamer.nl
"
					
					Binnenhof 22,
					2513 AA Den Haag
				","
					
					Postbus 20017,
					2500 EA Den Haag
				","
						070-3129200 (algemeen)
						
						
						
					",070-3129390,http://www.eerstekamer.nl,postbus@eerstekamer.nl
"
					
					Parnassusplein 5,
					2511 VX Den Haag
				","
					
					Postbus 90801,
					2509 LV Den Haag
				","
						070 333 4444 (algemeen)
						
						
						
					",,https://www.rijksoverheid.nl/ministeries/ministerie-van-sociale-zaken-en-werkgelegenheid,
"
					
					Rijnstraat 50,
					2515 XP Den Haag
				","
					
					Postbus 16375,
					2500 BJ Den Haag
				","
						070 412 34 56 (algemeen)
						
						
						
					",070 412 34 50,https://www.rijksoverheid.nl/ministeries/ministerie-van-onderwijs-cultuur-en-wetenschap,
