Company Name,Domain,Hourly rate,Address,Main Url,Service Focus,Industry
1. DEKSIA,https://deksia.com/,$100-$149/hr,Grand Rapids Michigan ,https://99firms.com/advertising-companies/,"Brand Research,Brand Development,Web Development",",advertising-companies/"
2. Spire Agency,https://spireagency.com/,$150-$199/hr,Addison Texas ,https://99firms.com/advertising-companies/,"Branding,Brand Integration,Advertising",",advertising-companies/"
3. BrandTuitive,https://www.brandtuitive.com/,$200-$300/hr,New York New York ,https://99firms.com/advertising-companies/,"Branding,Advertising,Marketing Strategy",",advertising-companies/"
4. Division of Labor,https://www.divisionoflabor.com/,$100-$149/hr,Sausalito California ,https://99firms.com/advertising-companies/,"Advertising,Branding,Web Design",",advertising-companies/"
5. Anchour,https://www.anchour.com/,$150-$199/hr,Lewiston Maine ,https://99firms.com/advertising-companies/,"Branding,Web Development,Content Development",",advertising-companies/"
6. Sensis,https://www.sensisagency.com/,$150-$199/hr,Los Angeles California ,https://99firms.com/advertising-companies/,"Marketing Strategy,SEM/SEO,Earned Media,Branding",",advertising-companies/"
7. REQ,https://req.co/,$150-$199/hr,Washington District of Columbia ,https://99firms.com/advertising-companies/,"Advertising,SEO,PR,Social Media,Branding",",advertising-companies/"
8. Jacob Tyler,https://www.jacobtyler.com/,$150-$199/hr,San Diego California ,https://99firms.com/advertising-companies/,"Advertising Campaigns,Media Planning,Outdoor Advertising,UX,Design & Development",",advertising-companies/"
9. IPNY,https://ipny.com/,$200-$300/hr,New York New York ,https://99firms.com/advertising-companies/,"Advertising,Digital Marketing,Social Media",",advertising-companies/"
10. THIEL,https://thiel.com/,$100-$149/hr,Milwaukee Wisconsin ,https://99firms.com/advertising-companies/,"Marketing,Website Design,Branding",",advertising-companies/"
11. Hub Strategy and Communication,https://hubsanfrancisco.com/,$150-$199/hr,San Francisco California ,https://99firms.com/advertising-companies/,"Advertising,Marketing Strategy,Media Planning & Buying",",advertising-companies/"
12. GKV,https://gkv.com/,$150-$199/hr,Baltimore Maryland ,https://99firms.com/advertising-companies/,"Advertising,Brand Development,Digital Marketing,Media Planning & Buying,PR",",advertising-companies/"
13. Bay Creative,https://www.baycreative.com/,$100-$149/hr,San Francisco California ,https://99firms.com/advertising-companies/,"Advertising,SEO,UI/UX,PPC",",advertising-companies/"
14. Power Agency,https://www.poweragency.com/,$100-$149/hr,Louisville Kentucky ,https://99firms.com/advertising-companies/,"Branding & Identity,Digital Marketing,Print Buying,Traditional Advertising",",advertising-companies/"
15. Citizen Group,http://www.citizengroup.com/,$200-$300,San Francisco California ,https://99firms.com/advertising-companies/,"Advertising,Marketing Strategy,Branding",",advertising-companies/"
16. Pure Fusion Media,https://www.purefusionmedia.com/,$100-$149/hr,Phoenix Arizona ,https://99firms.com/advertising-companies/,"Branding,Advertising,Web Design",",advertising-companies/"
17. Venthio,https://www.venthio.com/,$200-$300/hr,Dana Point California ,https://99firms.com/advertising-companies/,"Marketing Strategy,Advertising,Branding",",advertising-companies/"
18. Huntington Pacific Media,https://huntingtonpacificmedia.com/,$150-$199/hr,Irvine California ,https://99firms.com/advertising-companies/,"Social Media Management,Social Media Advertising,Photo and Video Content Production,PPC,Digital Marketing",",advertising-companies/"
1. Illustria,https://illustria.co/,$100-$149/hr,Washington District of Columbia ,https://99firms.com/branding-companies/,"Branding,Business Consulting,Brand Marketing",",branding-companies/"
2. DEKSIA,https://deksia.com/,$100-$149/hr,Grand Rapids Michigan ,https://99firms.com/branding-companies/,"Brand Research,Brand Development,Web Development",",branding-companies/"
3. Spire Agency,https://spireagency.com/,$150-$199/hr,Addison Texas ,https://99firms.com/branding-companies/,"Branding,Brand Integration,Advertising",",branding-companies/"
4. C42D,https://www.c42d.com/,$150-$199/hr,New York New York ,https://99firms.com/branding-companies/,"Brand Strategy,Brand Identity Design,Web & Digital Design",",branding-companies/"
5. BrandTuitive,https://www.brandtuitive.com/,$200-$300/hr,New York New York ,https://99firms.com/branding-companies/,"Branding,Advertising,Marketing Strategy",",branding-companies/"
6. Matchstic,https://matchstic.com/,$150-$199/hr,Atlanta Georgia ,https://99firms.com/branding-companies/,"Branding,Brand Strategy,Brand Identity",",branding-companies/"
7. Anchour,https://www.anchour.com/,$150-$199/hr,Lewiston Maine ,https://99firms.com/branding-companies/,"Branding,Web Development,Content Development",",branding-companies/"
8. Brand Juice,https://www.brandjuice.com/,$150-$199/hr,Denver Colorado ,https://99firms.com/branding-companies/,"Branding,Marketing,Advertising",",branding-companies/"
9. Tenet Partners,https://tenetpartners.com/,$200-$300/hr,New York New York ,https://99firms.com/branding-companies/,"Branding,UX/UI Design,Strategy",",branding-companies/"
10. Finien,https://www.finien.com/,$200-$300/hr,Long Beach California ,https://99firms.com/branding-companies/,"Branding,Logo Design,Marketing Strategy",",branding-companies/"
11. Traina,https://trainadesign.com/,$150-$199/hr,San Diego California ,https://99firms.com/branding-companies/,"Branding,Graphic Design & Marketing,Websites & interactive",",branding-companies/"
12. WANT,https://wantbranding.com/,$200-$300/hr,New York New York ,https://99firms.com/branding-companies/,"Brand Implementation,Brand Evaluation & Research,Brand Definition & Positioning",",branding-companies/"
13. Noble Studios,https://noblestudios.com/,$150-$199/hr,Reno Nevada ,https://99firms.com/branding-companies/,"Pay Per Click,Search Engine Optimization,Web Development",",branding-companies/"
14. DeSantis Breindel,https://www.desantisbreindel.com/,$200-$300/hr,New York New York ,https://99firms.com/branding-companies/,"Branding,Digital Strategy,Marketing Strategy",",branding-companies/"
15. Paragraphs LLC’s,https://paragraphs.com/,$100-$149/hr,Chicago Illinois ,https://99firms.com/branding-companies/,"Branding,Graphic Design,Logo Design",",branding-companies/"
16. BLVR,https://blvr.com/,$150-$199/hr,San Diego California ,https://99firms.com/branding-companies/,"Branding,Packaging Design,Web Design",",branding-companies/"
17. Webster,http://websterdesign.com/,$100-$149/hr,Omaha Nebraska ,https://99firms.com/branding-companies/,"Branding,Advertising,Logo Design",",branding-companies/"
18. Modern8,http://www.modern8.com/,$150-$199/hr,Salt Lake City Utah ,https://99firms.com/branding-companies/,"Branding,Social Media Marketing,Web Design",",branding-companies/"
