Company Name,Franchise sinds,Aantal vestigingen,Waarvan franchise ,Totale investering ,Eigen vermogen ,Main Url
Fortune Coffee,2000,30,30,€ 80.000,€ 17.500,https://franchiseplus.nl/franchiseformule/fortune-coffee
Foodmaster,1997,49,49,,€ 35.000,https://franchiseplus.nl/franchiseformule/foodmaster
Partytentverhuur Nederland,2013,22,21,€ 4.000,€ 4.000,https://franchiseplus.nl/franchiseformule/partytentverhuur-nederland
Par Hasard,2018,6,3,€ 335.000,€ 90.000,https://franchiseplus.nl/franchiseformule/par-hasard
Pander Consultancy,2006,21,18,,,https://franchiseplus.nl/franchiseformule/pander-consultancy
Papa John’s,2016,,,€ 195.000,€ 45.000,https://franchiseplus.nl/franchiseformule/papa-johns
Optie1,2006,55,55,,,https://franchiseplus.nl/franchiseformule/optie1
New York Pizza,1993,203,201,€ 180.000,€ 40.000,https://franchiseplus.nl/franchiseformule/new-york-pizza
Nedflex Uitzendbureau,1995,52,8,,,https://franchiseplus.nl/franchiseformule/nedflex-uitzendbureau
MultiVlaai,1986,90,90,€ 85.000,€ 20.000,https://franchiseplus.nl/franchiseformule/multivlaai
Monuta Uitvaartzorg,2000,95,55,€ 25.000,,https://franchiseplus.nl/franchiseformule/monuta-uitvaartzorg
Motorhome Depot Nederland,,56,54,€ 20.000,€ 20.000,https://franchiseplus.nl/franchiseformule/motorhome-depot-nederland
Mitra Retail B.V.,1974,115,115,,,https://franchiseplus.nl/franchiseformule/mitra-retail-bv
Mathnasium,,1000,,€ 793.000,€ 500.000,https://franchiseplus.nl/franchiseformule/mathnasium
M Room,2008,80,70,€ 200.000,€ 45.000,https://franchiseplus.nl/franchiseformule/m-room
Limburgia,1993,69,68,€ 40.000,,https://franchiseplus.nl/franchiseformule/limburgia
Leonidas,1913,200,175,,€ 10.000,https://franchiseplus.nl/franchiseformule/leonidas
Laser Space,2008,11,11,€ 180.000,€ 100.000,https://franchiseplus.nl/franchiseformule/laser-space
Ladyline,1995,13,13,€ 125.000,€ 40.000,https://franchiseplus.nl/franchiseformule/ladyline
KVIK,1998,150,142,€ 180.000,€ 50.000,https://franchiseplus.nl/franchiseformule/kvik
Kwalitaria,1990,142,141,,,https://franchiseplus.nl/franchiseformule/kwalitaria
Johnny's Burger,2011,20,20,€ 100.000,€ 50.000,https://franchiseplus.nl/franchiseformule/johnnys-burger
Jamin,1985,95,93,€ 120.000,€ 33.000,https://franchiseplus.nl/franchiseformule/jamin
Inner Stance,2015,13,12,€ 75.000,,https://franchiseplus.nl/franchiseformule/inner-stance
iQ Makelaars,2018,9,7,€ 12.500,€ 10.000,https://franchiseplus.nl/franchiseformule/iq-makelaars
iDevice+,2016,19,18,€ 8.000,€ 12.000,https://franchiseplus.nl/franchiseformule/idevice
iBinder,2008,,,,,https://franchiseplus.nl/franchiseformule/ibinder
HouseHunting,2007,19,19,€ 10.000,€ 10.000,https://franchiseplus.nl/franchiseformule/househunting
House to sell,2017,2,1,€ 5.000,€ 10.000,https://franchiseplus.nl/franchiseformule/house-to-sell
Herbergier,2007,42,42,,,https://franchiseplus.nl/franchiseformule/herbergier
Greenberry's Coffee Co.,2000,,,€ 900.000,,https://franchiseplus.nl/franchiseformule/greenberrys-coffee-co
Grando Keukens & Bad,1965,36,36,,,https://franchiseplus.nl/franchiseformule/grando-keukens-bad
Flexibility Groep,2006,120,120,,€ 1.000,https://franchiseplus.nl/franchiseformule/flexibility-groep
fit20,2009,140,140,€ 75.000,€ 17.500,https://franchiseplus.nl/franchiseformule/fit20
FEBO,1978,65,60,€ 300.000,€ 75.000,https://franchiseplus.nl/franchiseformule/febo
Family,1994,45,45,,€ 35.000,https://franchiseplus.nl/franchiseformule/family
ESPRIT,2000,70,49,,,https://franchiseplus.nl/franchiseformule/esprit
ENJO,1990,26,23,€ 10.000,€ 10.000,https://franchiseplus.nl/franchiseformule/enjo
eismann,1982,32,32,€ 8.000,€ 0,https://franchiseplus.nl/franchiseformule/eismann
Délifrance,1984,113,113,,,https://franchiseplus.nl/franchiseformule/delifrance
Doppio Espresso,2007,33,33,€ 240.000,€ 48.000,https://franchiseplus.nl/franchiseformule/doppio-espresso
Domino's Pizza,1967,267,240,€ 300.000,€ 50.000,https://franchiseplus.nl/franchiseformule/dominos-pizza
De Pizzabakkers - pizza&prosecco,2016,23,17,€ 250.000,€ 25.000,https://franchiseplus.nl/franchiseformule/pizzabakkers-pizzaprosecco
"Daisy's Ice, Coffee & More",2012,4,3,€ 137.500,€ 35.000,https://franchiseplus.nl/franchiseformule/daisys-ice-coffee-more
DA,1942,360,350,,€ 50.000,https://franchiseplus.nl/franchiseformule/da
Coffee-Bike,2010,250,250,€ 13.490,€ 0,https://franchiseplus.nl/franchiseformule/coffee-bike
"Claassen, Moolenbeek & Partners",1983,80,80,,€ 15.000,https://franchiseplus.nl/franchiseformule/claassen-moolenbeek-partners
Chocolaterie Albèrt,,5,4,€ 50.000,€ 25.000,https://franchiseplus.nl/franchiseformule/chocolaterie-albert
Cambridge Weight Plan,,400,,,€ 3.000,https://franchiseplus.nl/franchiseformule/cambridge-weight-plan
BurgerBusiness,2019,3,0,€ 137.500,€ 25.000,https://franchiseplus.nl/franchiseformule/burgerbusiness
Bruna,1963,300,241,,€ 40.000,https://franchiseplus.nl/franchiseformule/bruna
Bailine,2005,13,13,€ 35.000,€ 5.000,https://franchiseplus.nl/franchiseformule/bailine
Bakker Bart,1977,177,173,,,https://franchiseplus.nl/franchiseformule/bakker-bart
Autotaalglas,1986,54,54,,€ 0,https://franchiseplus.nl/franchiseformule/autotaalglas
backWERK,2003,350,26,€ 320.000,€ 40.000,https://franchiseplus.nl/franchiseformule/backwerk
Anytime Fitness,2002,5000,,€ 375.000,€ 100.000,https://franchiseplus.nl/franchiseformule/anytime-fitness
Anne&Max,2012,17,16,€ 300.000,€ 60.000,https://franchiseplus.nl/franchiseformule/annemax
ActionCOACH,1997,1000,1000,€ 19.500,€ 0,https://franchiseplus.nl/franchiseformule/actioncoach
Abeos,2019,16,1,€ 7.400,,https://franchiseplus.nl/franchiseformule/abeos
30ml,2018,9,9,€ 150.000,€ 25.000,https://franchiseplus.nl/franchiseformule/30ml
Thomashuis,2003,118,,,,https://franchiseplus.nl/franchiseformule/thomashuis
Tubz franchise in Nederland,2017,8,7,€ 2.999,€ 2.999,https://franchiseplus.nl/franchiseformule/tubz-franchise-in-nederland
Ambiance Zonwering,,43,43,€ 10.000,€ 5.000,https://franchiseplus.nl/franchiseformule/ambiance-zonwering
Ambachtsbakker,2001,83,,,,https://franchiseplus.nl/franchiseformule/ambachtsbakker
Alexanderhoeve,2013,70,70,,,https://franchiseplus.nl/franchiseformule/alexanderhoeve
Akwaak,2006,12,,€ 10.000,,https://franchiseplus.nl/franchiseformule/akwaak
Albert Heijn,1981,881,261,,€ 150.000,https://franchiseplus.nl/franchiseformule/albert-heijn
AKTIE Notarissen,2005,9,8,€ 0,€ 0,https://franchiseplus.nl/franchiseformule/aktie-notarissen
AKER uitvaarten,2012,6,6,€ 11.000,,https://franchiseplus.nl/franchiseformule/aker-uitvaarten
AgriTeam Makelaars / Landelijk-wonen,2000,13,13,€ 40.000,,https://franchiseplus.nl/franchiseformule/agriteam-makelaars-landelijk-wonen
Afslankpraktijk Mijn eigen Lijn,2008,2,2,€ 3.000,€ 3.000,https://franchiseplus.nl/franchiseformule/afslankpraktijk-mijn-eigen-lijn
Accor Hotels,1976,41,22,,,https://franchiseplus.nl/franchiseformule/accor-hotels
ABC Restaurants,,,,,,https://franchiseplus.nl/franchiseformule/abc-restaurants
Aafje,,,,,,https://franchiseplus.nl/franchiseformule/aafje
ABACUS bijlesinstituut,1993,10,9,€ 12.000,,https://franchiseplus.nl/franchiseformule/abacus-bijlesinstituut
8tea5,2012,2,1,€ 60.000,€ 18.000,https://franchiseplus.nl/franchiseformule/8tea5
7camicie,2001,400,350,€ 60.000,€ 30.000,https://franchiseplus.nl/franchiseformule/7camicie
40PlusRelatie,2006,11,10,,,https://franchiseplus.nl/franchiseformule/40plusrelatie
2theloo,2011,63,57,€ 50.000,€ 20.000,https://franchiseplus.nl/franchiseformule/2theloo
2Divorce,2009,32,32,,€ 20.000,https://franchiseplus.nl/franchiseformule/2divorce
2B Connected Staffing & Recruitment,2014,8,8,€ 2.500,€ 15.000,https://franchiseplus.nl/franchiseformule/2b-connected-staffing-recruitment
24People,2013,15,14,,€ 0,https://franchiseplus.nl/franchiseformule/24people
123Wonen,2009,28,28,€ 15.000,€ 15.000,https://franchiseplus.nl/franchiseformule/123wonen
123Boekhouden,2017,,,,,https://franchiseplus.nl/franchiseformule/123boekhouden
100% Talent,2013,8,8,,,https://franchiseplus.nl/franchiseformule/100-talent
úw topSlijter,,80,,€ 50.000,,https://franchiseplus.nl/franchiseformule/uw-topslijter
Yarden Uitvaartorganisatie,2008,52,28,€ 25.000,€ 15.000,https://franchiseplus.nl/franchiseformule/yarden-uitvaartorganisatie
World Options,2018,9,9,,€ 50.000,https://franchiseplus.nl/franchiseformule/world-options
Wayback Burgers,2009,142,142,€ 400.000,€ 150.000,https://franchiseplus.nl/franchiseformule/wayback-burgers
Vital 4 Skool,2009,26,26,€ 10.000,€ 20.000,https://franchiseplus.nl/franchiseformule/vital-4-skool
UwMakelaar,2010,6,5,,€ 14.500,https://franchiseplus.nl/franchiseformule/uwmakelaar
TWIN Workwear,2016,2,1,€ 15.000,€ 20.000,https://franchiseplus.nl/franchiseformule/twin-workwear
The Read Shop Express,1992,70,70,,€ 30.000,https://franchiseplus.nl/franchiseformule/read-shop-express
The Read Shop,1992,100,100,,€ 30.000,https://franchiseplus.nl/franchiseformule/read-shop
THE BUTCHER,2018,9,1,€ 400.000,,https://franchiseplus.nl/franchiseformule/thebutcher
Teamsportswear.nl,2019,1,,€ 0,€ 5.000,https://franchiseplus.nl/franchiseformule/teamsportswearnl
