"Url","Drug name:","Company name:","Active Ingredient:","Legal Status:"
"https://www.medicines.org.uk/emc/product/4334/smpc","Aciclovir 200 mg Tablets","Ranbaxy (UK) Limited a Sun Pharmaceutical Company","aciclovir","POM: Prescription only medicine"
"https://www.medicines.org.uk/emc/product/305/smpc","4head Cutaneous Stick","Diomed Developments Limited","levomenthol","GSL: General Sales Licence"
"https://www.medicines.org.uk/emc/product/3447/smpc","Acetylcysteine 200mg/ml Injection","Martindale Pharma, an Ethypharm Group Company","acetylcysteine","POM: Prescription only medicine"
"https://www.medicines.org.uk/emc/product/256/smpc","Calpol Sugar Free Infant Suspension (100ml GSL bottle)","McNeil Products Ltd","paracetamol","GSL: General Sales Licence"
"https://www.medicines.org.uk/emc/product/10480/smpc","Darunavir 800mg film-coated tablets","Accord-UK Ltd","darunavir propylene glycolate","POM: Prescription only medicine"
"https://www.medicines.org.uk/emc/product/580/smpc","Haemonine 500 / Haemonine 1000","Biotest (UK) Ltd","human coagulation factor IX","POM: Prescription only medicine"
"https://www.medicines.org.uk/emc/product/9041/smpc","Heparin Sodium 5,000 I.U./ml Solution for injection (without preservative)","Panpharma UK Ltd","heparin sodium","POM: Prescription only medicine"
"https://www.medicines.org.uk/emc/product/4848/smpc","Galenphol Paediatric Linctus","Thornton & Ross Ltd","pholcodine","P: Pharmacy"
"https://www.medicines.org.uk/emc/product/2092/smpc","Fenbid 10 %w/w Gel","ADVANZ Pharma","ibuprofen","P: Pharmacy,GSL: General Sales Licence"
"https://www.medicines.org.uk/emc/product/4859/smpc","Galenphol Linctus","Thornton & Ross Ltd","pholcodine monohydrate ","P: Pharmacy"
"https://www.medicines.org.uk/emc/product/2943/smpc","Ibandronic Acid 150mg Film-Coated Tablets","Zentiva","ibandronic sodium monohydrate ","POM: Prescription only medicine"
"https://www.medicines.org.uk/emc/product/7849/smpc","IDELVION 500 IU powder and solvent for solution for injection","CSL Behring UK Limited","albutrepenonacog alfa","POM: Prescription only medicine"
"https://www.medicines.org.uk/emc/product/4108/smpc","Junior Paracetamol 120 mg/5 ml Suspension Sugar Free, Colour Free","Pinewood Healthcare","paracetamol","GSL: General Sales Licence"
"https://www.medicines.org.uk/emc/product/8599/smpc","Jylamvo 2 mg/ml oral solution","Therakind Limited ","methotrexate","POM: Prescription only medicine"
