"Title","Network","Season","Meta Score","# of critics","User score","Genre","Genre 2","Permise Date","# of rating"
"Da Ali G Show (US)","HBO",": Season 1",60,90,6.9,"Comedy","Talk & Interview","February 22, 2003",23
"Dancing With the Stars","ABC",": Season 1",,88,,"Reality","Game Show","June 1, 2005",26
"Top Gear (US)","History,The History Channel",": Season 1",,83,,"Documentary","Educational",,75
"United Stats of America","The History Channel",": Season 1",,83,7.9,"Documentary","Educational","May 8, 2012",11
"Vice","HBO",": Season 1",,91,6.6,"Documentary","Educational","April 5, 2013",36
"Constitution USA with Peter Sagal","PBS",": Season 1",45,75,,"News/Documentary","Educational","May 7, 2013",5
"Drunk History","Comedy Central",": Season 1",54,83,6.6,"Comedy","Talk & Interview","July 9, 2013",54
"The Watsons Go to Birmingham","Hallmark Channel",": Season 1",59,67,,"Drama","Movie/Mini-Series","September 20, 2013",5
"Cosmos: A Space-Time Odyssey","FOX,National Geographic Channel",": Season 1",,91,8.7,"Documentary","Science",,374
"The Challenger Disaster","Science Channel,Discovery Channel",": Season 1",,91,8.3,"Drama","Movie/Mini-Series",,17
"The World Wars","The History Channel",": Season 1",,80,,"Movie/Mini-Series","Documentary","May 26, 2014",31
"The Sixties","CNN",": Season 1",,75,8.3,"News/Documentary","Documentary","May 29, 2014",12
"The Italian Americans","PBS",": Season 1",,80,,"News/Documentary","Documentary","February 17, 2015",12
"The Roosevelts: An Intimate History","PBS",": Season 1",,90,8,"Movie/Mini-Series","News/Documentary","September 14, 2014",47
"White People","MTV",": Season 1",,91,,"Movie/Mini-Series","News/Documentary","July 22, 2015",34
"Tut","Spike TV",": Season 1",46,70,6.1,"Drama","Movie/Mini-Series","July 19, 2015",38
"Sesame Street","PBS,NET",": Season 46",,80,,"Comedy","Kids",,7
"Wild Things with Dominic Monaghan","Travel Channel,BBC America,Channel 5",": Season 1",,88,8.3,"Reality","Documentary",,16
"The Story of God With Morgan Freeman","National Geographic",": Season 1",54,75,,"Documentary","Educational","April 3, 2016",20
"The Hunt","BBC America",": Season 1",,83,8.5,"Documentary","Science","July 3, 2016",37
"Genius by Stephen Hawking","PBS",": Season 1",,83,,"Science","Educational","May 18, 2016",9
"Planet Earth II","AMC,BBC America,SundanceTV",": Season 1",,90,9.4,"Drama","Movie/Mini-Series",,186
"Bill Nye Saves the World","Netflix",": Season 1",,70,,"Talk & Interview","Science","April 21, 2017",220
"America to Me","Starz",": Season 1",,90,,"News/Documentary","Documentary","August 26, 2018",57
"One Strange Rock","National Geographic",": Season 1",,90,,"Movie/Mini-Series","News/Documentary","March 26, 2018",11
"Our Planet","Netflix",": Season 1",,95,8.9,"Movie/Mini-Series","Documentary","April 5, 2019",80
