Title,Network,Season,Meta Score,# of critics,User score,Genre,Genre 2,Permise Date
Da Ali G Show (US),HBO,: Season 1,60,90,6.9,Comedy,Talk & Interview,"February 22, 2003"
Da Ali G Show (US),HBO,: Season 2,,90,,Comedy,Talk & Interview,"February 22, 2003"
Vice,HBO,: Season 1,,91,6.6,Documentary,Educational,"April 5, 2013"
Bill Nye Saves the World,Netflix,: Season 1,,70,,Talk & Interview,Science,"April 21, 2017"
America to Me,Starz,: Season 1,,90,,News/Documentary,Documentary,"August 26, 2018"
Our Planet,Netflix,: Season 1,,95,8.9,Movie/Mini-Series,Documentary,"April 5, 2019"
Talking Funny,HBO,: Season 1,,80,8,Comedy,Talk & Interview,"April 22, 2011"
Banksy Does New York,HBO,: Season 1,,83,,News/Documentary,Documentary,"November 17, 2014"
The New Yorker Presents,Amazon Prime,: Season 1,,83,,Comedy,News/Documentary,"February 16, 2016"
Five Came Back,Netflix,: Season 1,,91,7.2,Movie/Mini-Series,News/Documentary,"March 31, 2017"
The Girlfriend Experience,Starz,: Season 1,,91,7.7,Comedy,Drama,"April 10, 2016"
The Girlfriend Experience,Starz,: Season 2,,91,7.1,Comedy,Drama,"November 5, 2017"
Dirty Money (2018),Netflix,: Season 1,,80,6.9,News/Documentary,Business,"January 26, 2018"
Succession,HBO,: Season 1,,90,7.7,Comedy,Drama,"June 3, 2018"
Succession,HBO,: Season 2,,90,8.6,Comedy,Drama,"August 11, 2019"
The Inventor: Out for Blood in Silicon Valley,HBO,: Season 1,,90,7.2,Movie/Mini-Series,News/Documentary,"March 18, 2019"
Anne with an E,Netflix,: Season 3,,,,Drama,Kids,"January 3, 2020"
The Pee-wee Herman Show on Broadway,HBO,: Season 1,54,88,7.4,Comedy,Kids,"March 19, 2011"
Gortimer Gibbon's Life on Normal Street,Amazon Instant Video,: Season 1,,80,8.3,Comedy,Drama,"November 21, 2014"
Trollhunters,Netflix,: Season 1,,80,8.4,Comedy,Animation,"December 23, 2016"
Anne with an E,Netflix,: Season 1,,91,7.9,Drama,Kids,"May 12, 2017"
Lemony Snicket's A Series of Unfortunate Events (2017),Netflix,: Season 1,,91,8,Comedy,Drama,"January 13, 2017"
Green Eggs And Ham,Netflix,: Season 1,,88,,Animation,Kids,"November 8, 2019"
Treme,HBO,: Season 1,,90,7.8,Drama,Music,"April 11, 2010"
Treme,HBO,: Season 2,,90,7.4,Drama,Music,"April 24, 2011"
Treme,HBO,: Season 3,,91,7.4,Drama,Music,"September 23, 2012"
Treme,HBO,: Season 4,,91,7.6,Drama,Music,"December 1, 2013"
Ugly Delicious,Netflix,: Season 1,,91,6.1,News/Documentary,Documentary,"February 23, 2018"
A Very Murray Christmas,Netflix,: Season 1,,88,,Comedy,Variety Shows,"December 4, 2015"
Ellen DeGeneres: Relatable,Netflix,: Season 1,,80,,Comedy,Events & Specials,"December 18, 2018"
Springsteen on Broadway,Netflix,: Season 1,,98,7.1,Events & Specials,Music,"December 16, 2018"
Gary Gulman: The Great Depresh,HBO,: Season 1,,90,,Comedy,Events & Specials,"October 5, 2019"
John Mulaney & The Sack Lunch Bunch,Netflix,: Season 1,,91,7.7,Comedy,Variety Shows,"December 24, 2019"
